"Første vacc. dato","regionskode_current","Regionsnavn","Antal første vacc.","regionskode_num"
2021-04-23,1084,Hovedstaden,3716,1084
2021-04-23,1085,Sjælland,4026,1085
2021-04-24,1081,Nordjylland,3139,1081
2021-04-24,1082,Midtjylland,255,1082
2021-04-24,1083,Syddanmark,3906,1083
2021-04-24,1084,Hovedstaden,6727,1084
2021-04-24,1085,Sjælland,895,1085
2021-04-25,1081,Nordjylland,1137,1081
2021-04-25,1082,Midtjylland,256,1082
2021-04-25,1083,Syddanmark,4256,1083
2021-04-25,1084,Hovedstaden,8243,1084
2021-04-25,1085,Sjælland,1324,1085
2021-04-26,1081,Nordjylland,1432,1081
