"Faerdigvacc. dato","regionskode_current","Regionsnavn","Antal faerdigvacc.","regionskode_num"
2021-05-03,1085,Sjælland,14997,1085
2021-05-04,1081,Nordjylland,1045,1081
2021-05-04,1082,Midtjylland,8379,1082
2021-05-04,1083,Syddanmark,4031,1083
2021-05-04,1084,Hovedstaden,8655,1084
2021-05-04,1085,Sjælland,2719,1085
2021-05-05,1081,Nordjylland,1421,1081
2021-05-05,1082,Midtjylland,8878,1082
2021-05-05,1083,Syddanmark,4215,1083
2021-05-05,1084,Hovedstaden,12017,1084
2021-05-05,1085,Sjælland,2769,1085
2021-05-06,1081,Nordjylland,616,1081
2021-05-06,1082,Midtjylland,7548,1082
2021-05-06,1083,Syddanmark,5135,1083
2021-05-06,1084,Hovedstaden,10020,1084
2021-05-06,1085,Sjælland,2269,1085
2021-05-07,1081,Nordjylland,1371,1081
2021-05-07,1082,Midtjylland,5949,1082
2021-05-07,1083,Syddanmark,5574,1083
2021-05-07,1084,Hovedstaden,7547,1084
2021-05-07,1085,Sjælland,4196,1085
2021-05-08,1081,Nordjylland,1231,1081
2021-05-08,1082,Midtjylland,234,1082
2021-05-08,1083,Syddanmark,3836,1083
2021-05-08,1084,Hovedstaden,19718,1084
2021-05-08,1085,Sjælland,5861,1085
2021-05-09,1081,Nordjylland,1817,1081
2021-05-09,1082,Midtjylland,78,1082
2021-05-09,1083,Syddanmark,2905,1083
2021-05-09,1084,Hovedstaden,8167,1084
2021-05-09,1085,Sjælland,3753,1085
2021-05-10,1081,Nordjylland,4730,1081
2021-05-10,1082,Midtjylland,7065,1082
2021-05-10,1083,Syddanmark,14277,1083
2021-05-10,1084,Hovedstaden,5539,1084
2021-05-10,1085,Sjælland,4548,1085
2021-05-11,1081,Nordjylland,3652,1081
2021-05-11,1082,Midtjylland,7597,1082
2021-05-11,1083,Syddanmark,5742,1083
2021-05-11,1084,Hovedstaden,6166,1084
2021-05-11,1085,Sjælland,3119,1085
2021-05-12,1081,Nordjylland,1954,1081
2021-05-12,1082,Midtjylland,9340,1082
2021-05-12,1083,Syddanmark,6274,1083
2021-05-12,1084,Hovedstaden,5578,1084
2021-05-12,1085,Sjælland,3861,1085
2021-05-13,1081,Nordjylland,1840,1081
2021-05-13,1082,Midtjylland,2666,1082
2021-05-13,1083,Syddanmark,2345,1083
2021-05-13,1084,Hovedstaden,10623,1084
2021-05-13,1085,Sjælland,2225,1085
2021-05-14,1081,Nordjylland,3239,1081
2021-05-14,1082,Midtjylland,9094,1082
2021-05-14,1083,Syddanmark,7041,1083
2021-05-14,1084,Hovedstaden,7776,1084
2021-05-14,1085,Sjælland,3662,1085
2021-05-15,1081,Nordjylland,5385,1081
2021-05-15,1082,Midtjylland,319,1082
2021-05-15,1083,Syddanmark,4640,1083
2021-05-15,1084,Hovedstaden,6867,1084
2021-05-15,1085,Sjælland,2257,1085
2021-05-16,1081,Nordjylland,4566,1081
2021-05-16,1082,Midtjylland,237,1082
2021-05-16,1083,Syddanmark,3857,1083
2021-05-16,1084,Hovedstaden,3447,1084
2021-05-16,1085,Sjælland,1973,1085
2021-05-17,1081,Nordjylland,2713,1081
2021-05-17,1082,Midtjylland,10112,1082
2021-05-17,1083,Syddanmark,6753,1083
2021-05-17,1084,Hovedstaden,7138,1084
2021-05-17,1085,Sjælland,3446,1085
2021-05-18,1081,Nordjylland,2078,1081
